id,side,entry_px,entry_ct,mae,mfe,session,pnl,grade,source,bars_avail,atr5m,floor_pts,mae_over_floor
521,SHORT,29623.5,,16.0,71.25,LONDON,138.0,A,system,0,,,
522,SHORT,29558.25,,49.25,10.25,LONDON,-60.5,B,system,0,,,
523,SHORT,29466.5,,11.5,79.5,NY,118.0,A,system,0,,,
524,SHORT,29650.75,,16.5,137.5,NY,273.5,B,system,0,,,
525,LONG,29647.0,,21.75,19.75,ASIA,-43.0,B,system,0,,,
526,SHORT,29626.25,,57.5,2.75,ASIA,-69.42857199999708,A,system,0,,,
527,SHORT,29604.5,,44.25,5.0,ASIA,-88.0,A,system,0,,,
528,SHORT,29503.25,,49.0,48.0,LONDON,-97.5,A,system,0,,,
529,SHORT,29539.25,,43.75,91.0,LONDON,168.0,B,system,0,,,
531,LONG,29443.75,,75.0,16.25,NY,-147.5,A,system,0,,,
532,SHORT,29395.75,,61.5,156.75,NY,311.0,A,system,0,,,
533,SHORT,29322.25,,30.25,36.0,ASIA,-54.5,B,system,0,,,
534,SHORT,29332.25,,36.75,40.5,ASIA,-66.0,A,system,0,,,
535,SHORT,29360.75,,17.75,7.0,ASIA,-31.0,A,system,0,,,
536,SHORT,29393.0,,6.75,62.25,ASIA,124.0,A,system,0,,,
537,SHORT,29360.25,,42.0,20.25,ASIA,-79.5,B,system,0,,,
538,SHORT,29388.25,,2.75,16.25,ASIA,30.5,B,system,0,,,
540,LONG,29509.0,,50.0,6.5,LONDON,-98.0,B,system,0,,,
541,LONG,29511.75,,42.25,28.0,LONDON,-83.0,B,system,0,,,
542,SHORT,29310.0,,35.5,89.75,NY,0.0,A,system,0,,,
543,SHORT,29355.75,,45.0,25.0,NY,-88.5,A,system,0,,,
544,SHORT,29445.0,,31.5,19.5,NY,-61.5,A,system,0,,,
547,SHORT,28968.75,,73.25,15.25,NY,-139.5,A,system,0,,,
548,SHORT,29092.75,,44.75,58.5,NY,-54.5,A,system,0,,,
549,SHORT,29201.5,,10.5,85.5,NY,169.5,B,system,3,,,
550,SHORT,29123.75,,42.5,20.25,ASIA,-84.5,A,system,102,28.0663,42.1,1.01
551,SHORT,29163.0,,0.5,69.75,ASIA,0.0,A,system,114,27.6948,41.542,0.012
552,SHORT,29166.25,,5.5,10.0,ASIA,-7.5,A,system,121,26.737,40.105,0.137
553,SHORT,29178.5,,18.0,0.0,ASIA,-27.0,B,system,130,23.351,35.026,0.514
554,SHORT,29269.0,,58.75,58.0,LONDON,-62.0,A,system,167,20.5706,30.856,1.904
555,LONG,29328.0,,22.5,92.0,LONDON,168.0,A,system,193,26.8918,40.338,0.558
556,LONG,29336.0,,33.5,0.75,LONDON,-40.0,B,system,200,22.0275,33.041,1.014
557,LONG,29337.5,,17.25,71.75,LONDON,46.5,B,system,200,22.5505,33.826,0.51
558,LONG,29339.25,,27.5,5.75,LONDON,-22.5,B,system,200,21.8558,32.784,0.839
559,LONG,29246.25,,100.75,23.5,NY,-78.5,A,system,200,41.8585,62.788,1.605
560,SHORT,29263.0,,3.0,50.5,NY,81.0,A,system,200,19.2389,28.858,0.104
561,LONG,29221.25,,30.0,17.5,ASIA,-52.0,A,system,200,16.399,24.598,1.22
562,SHORT,29212.0,,51.25,25.75,LONDON,-98.5,A,system,200,22.0383,33.058,1.55
563,LONG,29244.0,,29.5,34.75,LONDON,-49.5,B,system,200,19.2214,28.832,1.023
564,SHORT,29585.25,,36.75,6.75,LONDON,-69.0,A,system,200,26.3403,39.51,0.93
565,SHORT,29580.0,,32.75,4.25,LONDON,-62.5,B,system,200,20.9809,31.471,1.041
567,SHORT,29621.0,,21.5,28.5,ASIA,-42.0,B,reconcile,200,13.5956,20.393,1.054
568,SHORT,29642.0,,17.0,1.75,LONDON,-32.0,B,reconcile,200,15.7176,23.576,0.721
569,SHORT,29700.0,,0.0,36.0,NY,63.0,A,reconcile,200,27.5702,41.355,0.0
570,LONG,29463.25,,14.5,66.25,NY,17.0,C,reconcile,200,47.1919,70.788,0.205
575,SHORT,29437.0,,6.0,41.5,NY,32.5,A,reconcile,200,39.9074,59.861,0.1
576,short,29437.0,,4.25,41.5,NY,0.0,A,armed_entry,200,40.4497,60.675,0.07
577,long,29413.0,,16.25,0.0,NY,0.0,C,armed_entry,200,24.9809,37.471,0.434
578,LONG,29413.0,,24.75,47.25,NY,92.0,C,reconcile,200,24.9809,37.471,0.661
579,short,29459.0,,0.0,15.5,NY,0.0,B,armed_entry,200,23.8967,35.845,0.0
581,SHORT,29466.0,,2.5,73.5,LONDON,190.5,A,system,200,24.1475,36.221,0.069
582,SHORT,29246.75,,11.25,69.25,LONDON,129.5,D,armed_entry,200,24.7573,37.136,0.303
583,LONG,29213.25,,43.25,25.0,LONDON,-82.5,B,system,200,21.1653,31.748,1.362
584,SHORT,29138.0,,0.0,58.0,LONDON,106.0,A,reconcile,200,28.4112,42.617,0.0
585,SHORT,29182.0,,38.75,0.0,NY,-77.5,C,armed_entry,200,38.1806,57.271,0.677
586,LONG,29082.75,,27.5,0.0,NY,-54.0,A,reconcile,200,26.9638,40.446,0.68
587,LONG,29079.25,,33.0,25.75,ASIA,-62.5,B,system,200,16.1452,24.218,1.363
588,LONG,29082.5,,33.25,0.0,LONDON,-65.0,B,system,200,28.885,43.328,0.767
589,LONG,29192.5,,80.5,10.25,NY,-155.0,A,system,200,36.4643,54.696,1.472
590,LONG,29193.25,,49.75,1.0,NY,-99.0,A,system,200,33.5373,50.306,0.989
591,SHORT,29285.0,,75.0,43.5,NY,-140.0,A,reconcile,200,46.294,69.441,1.08
