ts_ct,scenario,composed_stop,atr5m_printed,stop_dist_pts,rr_vs_29285_29144.5
09-03 08:30:54,S1,29307.93,32.17,22.93,6.12734
09-03 08:32:54,S1,29309.78,33.4,24.78,5.6699
09-03 08:35:20,S1,29308.82,32.77,23.82,5.8984
09-03 08:36:54,S1,29314.28,36.41,29.28,4.7985
09-03 08:40:01,S1,29317.13,38.3,32.13,4.37286
09-03 08:40:54,S1,29320.02,40.23,35.02,4.01199
09-03 08:42:54,S1,29321.63,41.3,36.63,3.83565
09-03 08:46:54,S1,29346.07,40.71,61.07,2.30064
09-03 08:48:54,S1,29346.47,40.98,61.47,2.28567
09-03 08:50:54,S1,29345.52,40.35,60.52,2.32155
09-03 08:52:54,S1,29346.4,40.94,61.4,2.28827
09-03 08:55:01,S1,29344.69,39.79,59.69,2.35383
09-03 08:56:54,S1,29349.32,42.88,64.32,2.18439
09-03 08:58:54,S1,29350.42,43.61,65.42,2.14766
09-03 09:00:54,S1,29349.9,43.27,64.9,2.16487
09-03 09:02:54,S1,29354.91,46.61,69.91,2.00973
09-03 09:05:35,S1,29351.63,44.42,66.63,2.10866
09-03 09:06:54,S1,29352.65,45.1,67.65,2.07687
09-03 09:08:54,S1,29354.44,46.29,69.44,2.02333
09-03 09:10:54,S1,29352.4,44.93,67.4,2.08457
09-03 09:12:54,S1,29354.86,46.58,69.86,2.01117
09-03 09:15:01,S1,29350.67,43.78,65.67,2.13949
