cf  condition      n    w  avg_pnl    mfe_r  mae_r  rr    atr  
--  -------------  ---  -  ---------  -----  -----  ----  -----
0                  30   0  0.0        0.0    0.0    0.0   0.0  
0   reclaim        4    0  -6.36      0.05   0.16   1.13  38.92
0   reject         173  0  -23616.17  0.05   0.29   2.43  24.21
0   sweep_reclaim  16   0  -10.91     0.18   0.1    1.61  28.86
outcome  COUNT(*)
-------  --------
open     163     
stop     23      
target   37      
rule        COUNT(*)
----------  --------
1m_mss      64      
1x5m_close  72      
2x5m_close  71      
touch       16      
MIN(created_at)                      MAX(created_at)                    
-----------------------------------  -----------------------------------
2026-08-30 18:37:46.041147573-05:00  2026-09-04 12:15:01.409916359-05:00
level_kind  ordinal  hold  brk  amb  n  
----------  -------  ----  ---  ---  ---
DEMAND      1        56    72   11   139
EQL         1        1     0    0    1  
EQL         2        1     0    0    1  
FVG         1        0     2    0    2  
OB          1        4     2    2    8  
OB          2        1     0    1    2  
OB          3        0     0    1    1  
ONH         1        3     0    0    3  
ONL         1        2     1    0    3  
ONL         2        1     0    0    1  
OR-H        1        1     1    0    2  
OR-H        2        0     1    1    2  
OR-H        3        1     1    0    2  
OR-H        4        0     1    1    2  
OR-H        5        1     0    1    2  
OR-H        6        1     1    0    2  
OR-H        7        0     1    1    2  
OR-H        8        1     0    0    1  
OR-H        9        1     0    0    1  
OR-H        10       0     1    0    1  
OR-H        11       1     0    0    1  
OR-H        12       1     0    0    1  
OR-H        13       0     1    0    1  
OR-H        14       0     1    0    1  
OR-H        15       1     0    0    1  
OR-L        1        0     1    2    3  
OR-L        2        0     0    1    1  
OR-L        3        1     0    0    1  
OR-L        4        1     0    0    1  
OR-L        5        0     1    0    1  
OR-L        6        1     0    0    1  
OR-L        7        0     1    0    1  
OR-L        8        1     0    0    1  
OR-L        9        0     1    0    1  
OR-L        10       0     0    1    1  
PDC         1        0     0    1    1  
PDC         2        0     1    0    1  
PDC         3        1     0    0    1  
PDC         4        1     0    0    1  
PDC         5        0     1    0    1  
PDC         6        0     1    0    1  
PDC         7        0     1    0    1  
PDC         8        0     1    0    1  
PDC         9        1     0    0    1  
PDC         10       1     0    0    1  
PDC         11       0     1    0    1  
PDC         12       1     0    0    1  
PDH         1        1     0    0    1  
PDH         2        0     1    0    1  
PDH         3        1     0    0    1  
PDH         4        0     0    1    1  
PDH         5        0     1    0    1  
PDH         6        0     1    0    1  
PDH         7        0     1    0    1  
PDH         8        1     0    0    1  
PDH         9        1     0    0    1  
PDH         10       0     1    0    1  
PDL         1        8     0    0    8  
POC         1        4     1    4    9  
POC         2        0     0    1    1  
POC         3        0     0    1    1  
POC         4        1     0    0    1  
POC         5        0     1    0    1  
POC         6        0     1    0    1  
POC         7        1     0    0    1  
POC         8        1     0    0    1  
POC         9        0     1    0    1  
POC         10       1     0    0    1  
POC         11       1     0    0    1  
POC         12       0     1    0    1  
RTH-H       1        1     1    0    2  
RTH-H       2        0     0    1    1  
RTH-H       3        0     0    1    1  
RTH-H       4        0     1    0    1  
RTH-H       5        1     0    0    1  
RTH-H       6        1     0    0    1  
RTH-H       7        1     0    0    1  
RTH-H       8        1     0    0    1  
RTH-H       9        0     1    0    1  
RTH-H       10       1     0    0    1  
RTH-H       11       1     0    0    1  
RTH-L       1        42    82   16   140
SUPPLY      1        0     3    3    6  
SUPPLY      2        1     0    1    2  
SUPPLY      3        1     0    1    2  
SUPPLY      4        1     1    0    2  
SUPPLY      5        0     0    1    1  
SUPPLY      6        1     0    0    1  
SUPPLY      7        0     0    1    1  
SUPPLY      8        1     0    0    1  
SUPPLY      9        0     0    1    1  
SUPPLY      10       1     0    0    1  
SUPPLY      11       0     1    0    1  
SUPPLY      12       1     0    0    1  
SUPPLY      13       0     1    0    1  
SUPPLY      14       0     1    0    1  
SWG-H       1        8     5    9    22 
SWG-H       2        0     1    2    3  
SWG-H       3        0     0    2    2  
SWG-H       4        0     0    1    1  
SWG-H       5        1     0    0    1  
SWG-L       1        1     3    5    9  
SWG-L       2        0     1    2    3  
SWG-L       3        2     0    1    3  
SWG-L       4        1     0    0    1  
VWAP        1        42    20   40   102
VWAP        2        1     2    12   15 
VWAP        3        5     2    7    14 
VWAP        4        7     2    4    13 
VWAP        5        3     7    1    11 
VWAP        6        3     4    2    9  
VWAP        7        4     2    1    7  
VWAP        8        5     2    0    7  
VWAP        9        4     1    0    5  
VWAP        10       3     2    0    5  
VWAP        11       2     2    0    4  
VWAP        12       1     3    0    4  
VWAP        13       1     1    0    2  
VWAP        14       1     0    0    1  
VWAP±2σ     1        2     2    0    4  
eVWAP       1        1     4    1    6  
eVWAP       2        0     0    2    2  
eVWAP       3        0     0    2    2  
level_kind  hold  brk  amb  n    hold_rate
----------  ----  ---  ---  ---  ---------
VWAP        82    50   67   199  0.621    
RTH-L       42    82   16   140  0.339    
DEMAND      56    72   11   139  0.438    
SWG-H       9     6    14   29   0.6      
OR-H        9     9    4    22   0.5      
SUPPLY      7     7    8    22   0.5      
POC         9     5    6    20   0.643    
SWG-L       4     4    8    16   0.5      
OR-L        4     4    4    12   0.5      
PDC         5     6    1    12   0.455    
RTH-H       7     3    2    12   0.7      
OB          5     2    4    11   0.714    
PDH         4     5    1    10   0.444    
eVWAP       1     4    5    10   0.2      
PDL         8     0    0    8    1.0      
ONL         3     1    0    4    0.75     
VWAP±2σ     2     2    0    4    0.5      
ONH         3     0    0    3    1.0      
EQL         2     0    0    2    1.0      
FVG         0     2    0    2    0.0      
session  k    band_pts          horizon  COUNT(*)
-------  ---  ----------------  -------  --------
ASIA     3.0  12.7995247623812  12       29      
ASIA     3.0  12.9045772886443  12       52      
LONDON   3.0  12.7342421210605  12       32      
LONDON   3.0  12.7815157578789  12       22      
LONDON   3.0  13.0265132566283  12       60      
LONDON   3.0  13.2643821910955  12       49      
NY       3.0  13.1634567283642  12       49      
NY       3.0  13.3990745372686  12       66      
NY       3.0  13.59979989995    12       65      
NY       3.0  14.1025512756378  12       48      
NY       3.0  14.3948224112056  12       43      
NY       3.0  14.4038269134567  12       37      
NY       3.0  14.4503501750875  12       40      
NY       3.0  14.5032516258129  12       44      
NY       3.0  14.5471485742871  12       41      
MIN(created_at)                     MAX(created_at)                      MIN(plan_id)                                                  MAX(plan_id)                                                
----------------------------------  -----------------------------------  ------------------------------------------------------------  ------------------------------------------------------------
2026-09-04 05:30:54.82771663+00:00  2026-09-04 17:01:01.821854419+00:00  2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d799  2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_
                                                                         8_deepseek_1781246265                                         deepseek_1781246265                                         
