tf   n      first_ct             last_ct              days  convention 
---  -----  -------------------  -------------------  ----  -----------
12h  4011   2022-10-17 17:00:00  2026-09-03 17:00:00  1208  epoch_floor
15m  22     2026-08-04 00:00:00  2026-08-04 05:15:00  1                
15m  4310   2026-08-04 00:00:00  2026-09-04 12:15:00  28    epoch_floor
1d   3899   2018-12-05 01:00:00  2026-09-03 00:00:00  2001  epoch_floor
1h   6      2026-05-04 06:00:00  2026-05-04 11:00:00  1                
1h   4078   2026-05-04 06:00:00  2026-09-04 12:00:00  107   epoch_floor
1m   20362  2026-08-19 10:00:00  2026-09-01 12:04:00  12               
1m   8642   2026-09-01 06:31:00  2026-09-04 12:19:00  4     epoch_floor
1w   1333   2004-12-03 01:00:00  2026-08-28 00:00:00  949   fri_thu    
2h   4042   2026-01-12 00:00:00  2026-09-04 11:00:00  203   epoch_floor
30m  4166   2026-07-03 02:00:00  2026-09-04 12:00:00  55    epoch_floor
3d   2196   2004-12-10 01:00:00  2026-09-01 00:00:00  2194  epoch_floor
3m   5659   2026-08-27 08:51:00  2026-09-04 12:18:00  8     epoch_floor
4h   4019   2025-05-18 17:00:00  2026-09-04 09:00:00  408   epoch_floor
5m   66     2026-08-24 11:15:00  2026-08-24 17:40:00  1                
5m   4928   2026-08-24 11:15:00  2026-09-04 12:15:00  11    epoch_floor
6h   4012   2024-09-25 05:00:00  2026-09-04 05:00:00  608   epoch_floor
8h   4018   2024-01-31 09:00:00  2026-09-04 01:00:00  811   epoch_floor
d           COUNT(*)
----------  --------
2026-08-19  781     
2026-08-20  1381    
2026-08-21  961     
2026-08-23  420     
2026-08-24  1900    
2026-08-25  2761    
2026-08-26  2761    
2026-08-27  2761    
2026-08-28  1920    
2026-08-30  840     
2026-08-31  2760    
2026-09-01  2760    
2026-09-02  2759    
2026-09-03  2759    
2026-09-04  1480    
