working_count  COUNT(*)  first                last               
-------------  --------  -------------------  -------------------
0              2648      2026-09-04 00:00:24  2026-09-04 23:59:55
1              207       2026-09-04 09:10:08  2026-09-04 11:59:02
2              19        2026-09-04 10:16:03  2026-09-04 10:53:11
3              8         2026-09-04 10:28:02  2026-09-04 10:53:11
4              8         2026-09-04 10:30:02  2026-09-04 10:53:11
5              8         2026-09-04 10:32:02  2026-09-04 10:53:11
6              8         2026-09-04 10:34:01  2026-09-04 10:53:11
7              8         2026-09-04 10:36:01  2026-09-04 10:53:11
8              58        2026-09-04 10:38:01  2026-09-04 10:53:11
9              36        2026-09-04 10:40:01  2026-09-04 10:53:11
