what                             
---------------------------------
decision_records 09-04 by CT hour
h   n   min_id  max_id
--  --  ------  ------
00  30  37395   37424 
01  29  37425   37453 
02  30  37454   37483 
03  30  37484   37513 
04  30  37514   37543 
05  30  37544   37573 
06  30  37574   37603 
07  30  37604   37633 
08  30  37634   37663 
09  30  37664   37693 
10  31  37694   37724 
11  30  37725   37754 
12  11  37755   37765 
13  3   37766   37768 
what                   
-----------------------
bars 1m MNQ last 5 (CT)
symbol  tf  open_ct              c       
------  --  -------------------  --------
MNQ     1m  2026-09-04 12:19:00  29531.5 
MNQ     1m  2026-09-04 12:18:00  29537.5 
MNQ     1m  2026-09-04 12:17:00  29540.75
MNQ     1m  2026-09-04 12:16:00  29536.0 
MNQ     1m  2026-09-04 12:15:00  29534.25
what                               
-----------------------------------
bars 1m MNQ count per CT hour 09-04
h   n
--  -
00  1
00  2
00  1
00  3
00  1
00  2
00  1
00  2
00  1
00  1
00  1
00  1
00  2
00  1
00  1
00  3
00  2
00  1
00  1
00  1
00  1
00  1
00  1
00  2
00  2
00  2
00  2
00  2
00  1
00  2
00  1
00  2
00  1
00  1
00  3
00  3
00  2
00  1
00  3
00  2
00  2
00  4
00  4
00  3
00  4
00  1
00  3
00  2
00  1
00  2
00  3
00  3
01  1
01  2
01  1
01  1
01  2
01  1
01  2
01  3
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  1
01  3
01  2
01  5
01  1
01  1
01  1
01  2
01  1
01  4
01  2
01  3
01  2
01  1
01  3
01  3
01  3
01  3
01  1
02  3
02  1
02  2
02  2
02  1
02  1
02  1
02  1
02  1
02  1
02  1
02  1
02  1
02  1
02  2
02  1
02  1
02  1
02  1
02  1
02  3
02  2
02  2
02  2
02  3
02  1
02  3
02  2
02  1
02  4
02  2
02  2
02  1
02  2
02  3
02  2
02  2
02  3
02  1
02  2
02  4
02  3
03  2
03  3
03  1
03  1
03  2
03  3
03  2
03  1
03  3
03  1
03  2
03  1
03  2
03  2
03  2
03  5
03  3
03  5
03  3
03  2
03  3
03  2
03  2
03  2
03  3
03  3
03  1
03  4
03  5
03  3
03  5
03  3
03  3
03  1
03  1
03  1
03  1
03  1
03  1
03  3
03  2
04  3
04  1
04  1
04  2
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  1
04  2
04  3
04  1
04  1
04  1
04  1
04  1
04  1
05  4
05  4
05  2
05  3
05  3
05  4
05  1
05  1
05  1
05  4
05  1
05  2
05  2
05  1
05  1
05  2
05  2
05  1
05  2
05  4
05  1
05  1
05  1
05  2
05  3
05  2
05  1
05  2
05  1
05  2
05  2
05  1
05  2
05  2
05  1
05  1
05  1
05  1
06  3
06  2
06  1
06  2
06  2
06  2
06  1
06  1
06  2
06  1
06  3
06  4
06  2
06  1
06  1
06  1
06  1
06  1
06  1
06  1
07  2
07  1
07  1
07  1
07  2
07  5
07  2
07  2
07  1
07  1
07  1
07  2
07  1
07  2
07  2
07  1
07  2
07  1
07  2
07  1
07  1
07  2
07  1
07  1
07  1
07  1
07  2
07  2
07  1
07  2
07  2
07  1
07  1
07  1
07  1
07  1
08  2
08  1
08  1
08  2
08  2
08  1
08  2
08  3
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  1
08  2
08  1
08  1
08  1
08  1
08  1
08  1
08  2
08  1
08  1
08  1
08  2
08  1
09  1
09  2
09  1
09  3
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  2
09  1
09  2
09  1
09  2
09  1
09  1
09  1
09  1
09  2
09  1
09  2
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  1
09  2
09  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  2
10  1
10  1
10  2
10  2
10  1
10  1
10  1
10  1
10  2
10  1
10  2
10  1
10  1
10  1
10  1
10  1
10  2
10  1
10  1
10  2
10  3
10  1
10  1
10  2
10  2
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  1
10  2
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  3
11  1
11  1
11  3
11  1
11  1
11  1
11  2
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  1
11  3
11  2
11  1
11  1
11  1
11  1
11  1
11  1
12  1
12  1
12  1
12  1
12  1
12  1
12  1
12  1
12  1
12  1
what                         
-----------------------------
equity snapshots 09-04 last 3
id     ct                   total_equity  position_count
-----  -------------------  ------------  --------------
37888  2026-09-04 13:27:48  51906.5       0             
37887  2026-09-04 13:25:47  51906.5       0             
37886  2026-09-04 13:18:47  51906.5       0             
