id|side|entry|exit|entry_ct|exit_ct|realized|pnl_corr|fee|close_reason|source|mae|mfe|band|scen|plan_matched|grade|entry_order_id|note
587|LONG|29079.25|29048.0|2026-09-02 00:17:44|2026-09-02 01:03:41|-62.5|-62.5|0.0|sync|system|33.0|25.75||S3|1|B|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
588|LONG|29082.5|29050.0|2026-09-02 07:41:05|2026-09-02 07:51:38|-65.0|-65.0|0.0|sync|system|33.25|0.0||S2|1|B|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
589|LONG|29192.5|29115.0|2026-09-02 09:41:04|2026-09-02 09:59:27|-155.0|-155.0|0.0|sync|system|80.5|10.25||S3|1|A|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
590|LONG|29193.25|29143.75|2026-09-02 10:37:17|2026-09-02 10:49:30|-99.0|-99.0|0.0|sync|system|49.75|1.0||S4|1|A|<nil>|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized
591|SHORT|29285.0|29355.0|2026-09-03 09:05:14|2026-09-03 09:20:45|-140.0|-140.0|0.0|sync|reconcile|75.0|43.5|armed_fill|S1|1|A|f2b1eb20|T7 close-path: pnl_corrected = recompute (Δ+0.00 vs realized

-- all era rows (>= 08-15) compact
id|side|entry|exit|entry_ct|exit_ct|pnl_corr|close_reason|source|mae|mfe|band|scen|session
521|SHORT|29623.5|29554.5|2026-08-19 03:22:03|2026-08-19 04:43:36|138.0|sync|system|16.0|71.25||S1|LONDON
522|SHORT|29558.25|29588.5|2026-08-19 07:17:31|2026-08-19 07:33:04|-60.5|sync|system|49.25|10.25||S3|LONDON
523|SHORT|29466.5|29407.5|2026-08-19 09:06:52|2026-08-19 09:11:09|118.0|sync|system|11.5|79.5||S1|NY
524|SHORT|29650.75|29514.0|2026-08-19 11:18:15|2026-08-19 12:21:31|273.5|sync|system|16.5|137.5||S1|NY
525|LONG|29647.0|29625.5|2026-08-19 18:22:04|2026-08-19 18:59:40|-43.0|sync|system|21.75|19.75||S1|ASIA
526|SHORT|29626.25|29660.964286|2026-08-19 20:28:22|2026-08-19 21:16:27|-69.42857199999708|sync|system|57.5|2.75||S2|ASIA
527|SHORT|29604.5|29648.5|2026-08-19 22:37:28|2026-08-19 23:07:14|-88.0|sync|system|44.25|5.0||S2|ASIA
528|SHORT|29503.25|29552.0|2026-08-20 03:26:31|2026-08-20 05:11:44|-97.5|sync|system|49.0|48.0||S1|LONDON
529|SHORT|29539.25|29455.25|2026-08-20 05:26:33|2026-08-20 06:21:57|168.0|sync|system|43.75|91.0||S2|LONDON
530|SHORT|29342.25|29335.75|2026-08-20 08:12:02|2026-08-20 08:15:26|13.0|sync|system|6.25|10.0||off-plan|
531|LONG|29443.75|29370.0|2026-08-20 08:41:37|2026-08-20 08:48:24|-147.5|sync|system|75.0|16.25||S3|NY
532|SHORT|29395.75|29240.25|2026-08-20 09:41:57|2026-08-20 13:05:47|311.0|sync|system|61.5|156.75||S1|NY
533|SHORT|29322.25|29349.5|2026-08-20 17:59:18|2026-08-20 19:12:43|-54.5|sync|system|30.25|36.0||S2|ASIA
534|SHORT|29332.25|29365.25|2026-08-20 19:22:28|2026-08-20 20:49:55|-66.0|sync|system|36.75|40.5||S2|ASIA
535|SHORT|29360.75|29376.25|2026-08-20 21:08:43|2026-08-20 21:20:57|-31.0|sync|system|17.75|7.0||S1|ASIA
536|SHORT|29393.0|29331.0|2026-08-20 21:36:19|2026-08-20 23:27:34|124.0|sync|system|6.75|62.25||S1|ASIA
537|SHORT|29360.25|29400.0|2026-08-21 00:25:10|2026-08-21 01:35:40|-79.5|sync|system|42.0|20.25||S1|ASIA
538|SHORT|29388.25|29373.0|2026-08-21 01:40:26|2026-08-21 01:45:01|30.5|sync|system|2.75|16.25||S1|ASIA
539|SHORT|29453.0|29495.25|2026-08-21 03:54:09|2026-08-21 05:00:11|-84.5|sync|system|43.0|42.25||off-plan|
540|LONG|29509.0|29460.0|2026-08-21 05:04:40|2026-08-21 06:01:16|-98.0|sync|system|50.0|6.5||S1|LONDON
541|LONG|29511.75|29470.25|2026-08-21 06:26:47|2026-08-21 08:13:42|-83.0|sync|system|42.25|28.0||S1|LONDON
542|SHORT|29310.0|29310.0|2026-08-21 08:49:03|2026-08-21 09:27:42|0.0|sync|system|35.5|89.75||S2|NY
543|SHORT|29355.75|29400.0|2026-08-21 10:12:43|2026-08-21 10:34:30|-88.5|sync|system|45.0|25.0||S2|NY
544|SHORT|29445.0|29475.75|2026-08-21 10:47:45|2026-08-21 10:51:49|-61.5|sync|system|31.5|19.5||S1|NY
545|LONG|29298.5|29283.75|2026-08-23 22:28:10|2026-08-23 22:32:25|-29.5|sync|system|15.25|3.0|||
546|LONG|29222.5|29178.25|2026-08-24 07:06:42|2026-08-24 07:32:53|-88.5|sync|system|51.0|9.75|||
547|SHORT|28968.75|29038.5|2026-08-24 09:09:45|2026-08-24 09:30:50|-139.5|sync|system|73.25|15.25||S2|NY
548|SHORT|29092.75|29120.0|2026-08-24 09:55:13|2026-08-24 10:29:04|-54.5|sync|system|44.75|58.5||S1|NY
549|SHORT|29201.5|29116.75|2026-08-24 11:26:50|2026-08-24 12:55:45|169.5|sync|system|10.5|85.5||S2|NY
550|SHORT|29123.75|29166.0|2026-08-24 20:43:34|2026-08-24 21:31:55|-84.5|sync|system|42.5|20.25||S2|ASIA
551|SHORT|29163.0|29163.0|2026-08-24 21:43:06|2026-08-24 22:09:04|0.0|sync|system|0.5|69.75||S2|ASIA
552|SHORT|29166.25|29170.0|2026-08-24 22:17:05|2026-08-24 22:19:48|-7.5|sync|system|5.5|10.0||S2|ASIA
553|SHORT|29178.5|29192.0|2026-08-24 23:03:06|2026-08-24 23:05:23|-27.0|sync|system|18.0|0.0||S2|ASIA
554|SHORT|29269.0|29300.0|2026-08-25 02:09:18|2026-08-25 03:24:37|-62.0|sync|system|58.75|58.0||S2|LONDON
555|LONG|29328.0|29412.0|2026-08-25 04:19:19|2026-08-25 04:57:43|168.0|sync|system|22.5|92.0||S2|LONDON
556|LONG|29336.0|29316.0|2026-08-25 06:04:08|2026-08-25 06:09:43|-40.0|sync|system|33.5|0.75||S1|LONDON
557|LONG|29337.5|29360.75|2026-08-25 06:14:36|2026-08-25 07:30:54|46.5|sync|system|17.25|71.75||S1|LONDON
558|LONG|29339.25|29328.0|2026-08-25 07:56:41|2026-08-25 08:15:02|-22.5|sync|system|27.5|5.75||S1|LONDON
559|LONG|29246.25|29207.0|2026-08-25 09:14:41|2026-08-25 09:30:02|-78.5|sync|system|100.75|23.5||S4|NY
560|SHORT|29263.0|29222.5|2026-08-25 13:53:09|2026-08-25 14:30:16|81.0|sync|system|3.0|50.5||S3|NY
561|LONG|29221.25|29195.25|2026-08-25 19:11:44|2026-08-25 19:25:39|-52.0|sync|system|30.0|17.5||S1|ASIA
562|SHORT|29212.0|29261.25|2026-08-26 02:22:06|2026-08-26 06:01:49|-98.5|sync|system|51.25|25.75||S2|LONDON
563|LONG|29244.0|29219.25|2026-08-26 06:12:45|2026-08-26 06:38:04|-49.5|sync|system|29.5|34.75||S1|LONDON
564|SHORT|29585.25|29619.75|2026-08-27 04:19:45|2026-08-27 04:32:24|-69.0|sync|system|36.75|6.75||S3|LONDON
565|SHORT|29580.0|29611.25|2026-08-27 05:53:12|2026-08-27 06:05:37|-62.5|sync|system|32.75|4.25||S1|LONDON
566|LONG|29611.5|29660.0|2026-08-27 11:32:53|2026-08-27 12:01:49|97.0|sync|reconcile|None|None|||
567|SHORT|29621.0|29642.0|2026-08-28 01:22:04|2026-08-28 01:57:47|-42.0|sync|reconcile|21.5|28.5|armed_fill|S1|ASIA
568|SHORT|29642.0|29658.0|2026-08-28 07:19:46|2026-08-28 07:23:02|-32.0|sync|reconcile|17.0|1.75|armed_fill|S1|LONDON
569|SHORT|29700.0|29668.5|2026-08-28 08:44:28|2026-08-28 08:45:28|63.0|sync|reconcile|0.0|36.0|armed_fill|S1|NY
570|LONG|29463.25|29471.75|2026-08-28 12:10:21|2026-08-28 13:48:34|17.0|sync|reconcile|14.5|66.25|armed_fill|S2|NY
571|LONG|29437.0|29414.75|2026-08-30 17:38:33|2026-08-30 18:13:13|-44.5|sync|reconcile|22.5|17.0|||
572|SHORT|29346.25|29346.25|2026-08-30 22:34:16|2026-08-30 22:46:16|None|e7_farside_test|e7_farside_test|5.25|8.5|armed_fill|TEST-E7|TEST-E7
573|LONG|29347.0|29350.0|2026-08-30 22:52:16|2026-08-30 22:58:37|6.0|e7_farside_test|e7_farside_test|8.0|7.5|||
574|LONG|29348.25|29348.0|2026-08-30 23:00:16|2026-08-30 23:04:39|-1.0|e7_farside_test|e7_farside_test|5.0|5.25|||
575|SHORT|29437.0|29420.75|2026-08-31 09:59:18|2026-08-31 10:15:28|32.5|sync|reconcile|6.0|41.5|armed_fill|S2|NY
576|short|29437.0|29437.0|2026-08-31 10:00:01|2026-08-31 10:03:38|None|reconcile_flat|armed_entry|4.25|41.5|armed_fill|S2|NY
577|long|29413.0|29413.0|2026-08-31 12:25:29|2026-08-31 12:29:08|None|reconcile_flat|armed_entry|16.25|0.0|armed_fill|S1|NY
578|LONG|29413.0|29459.0|2026-08-31 12:26:48|2026-08-31 13:10:48|92.0|sync|reconcile|24.75|47.25|armed_fill|S1|NY
579|short|29459.0|0.0|2026-08-31 13:09:28|2026-08-31 13:13:08|None|unresolved|armed_entry|0.0|15.5|armed_fill|S3|NY
580|SHORT|29417.25|29397.5|2026-08-31 13:37:08|2026-08-31 13:38:19|39.5|sync|reconcile|0.0|20.75|||
