-- distinct (name8,type,action) -> (limit_price, stop_price, qty, state): first snapshot id, ct, count
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'Initialized') first 1364 2026-09-04 09:10:08 n= 1
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'Submitted') first 1365 2026-09-04 09:10:08 n= 1
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'Accepted') first 1366 2026-09-04 09:10:08 n= 1
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'Working') first 1367 2026-09-04 09:10:08 n= 32
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'CancelPending') first 1399 2026-09-04 09:26:06 n= 1
   ('89339298', 'limit', 'sell') (29657.5, None, 1, 'CancelSubmitted') first 1400 2026-09-04 09:26:06 n= 1
   ('e38f1774', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1480 2026-09-04 10:05:00 n= 1
   ('e38f1774', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1481 2026-09-04 10:05:00 n= 1
   ('e38f1774', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1482 2026-09-04 10:05:00 n= 3
   ('e38f1774', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1485 2026-09-04 10:06:05 n= 1
   ('e38f1774', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1486 2026-09-04 10:06:05 n= 1
   ('f869f788', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1496 2026-09-04 10:10:04 n= 1
   ('f869f788', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1497 2026-09-04 10:10:04 n= 1
   ('f869f788', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1498 2026-09-04 10:10:04 n= 5
   ('f869f788', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1503 2026-09-04 10:12:04 n= 1
   ('f869f788', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1504 2026-09-04 10:12:04 n= 1
   ('c1d016b2', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1512 2026-09-04 10:15:01 n= 1
