bucket                      n    mean_vol  mean_range_pts  max_range
--------------------------  ---  --------  --------------  ---------
a 08:30-08:39 open          120  13381.0   38.24           115.75
b 09:30-09:39               120  6498.0    21.47           71.25
c 10:00-10:09               130  5170.0    17.25           59.75
d 12:00-12:09 lunch         130  2875.0    12.1            50.75
e 13:00-13:09               120  2886.0    12.04           32.5
f 14:40-14:49 EOD flat      120  2394.0    9.91            20.5
g 14:55-15:04 close/settle  120  4095.0    14.1            39.75
h 01:30-01:39 LONDON        120  739.0     9.37            38.25
i 17:00-17:09 ASIA open     100  952.0     12.85           49.0
j 20:00-20:09 ASIA          100  1187.0    10.73           27.5
