plan,scenario,direction,condition,quality,entry,stop,target,first_target,risk_points,target_R,first_target_R,stop_correct_side,target_correct_side,off_tick_trade_price,target_in_chain_half_tick,confirm_rule,confirm_side,confirm2_rule,confirm2_side,arm_legs,trigger,invalidation
2026-08-31:LONDON:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-08-31:LONDON:v2,S1,long,reject,B,29437,29416,29498.5,29498.5,21,2.9285714285714284,2.9285714285714284,True,True,False,True,touch,above,,,0,Retest of 29437.00 RTH-L after the 07:00 sweep reclaimed 29437.00; first-touch rejection from above goes long.,5m close below 29432.25 voids the reclaim
2026-08-31:LONDON:v2,S2,long,reject,B,29398.52,29378.02,29498.5,29437,20.5,4.877073170731686,1.8770731707316861,True,True,True,True,touch,above,,,0,"If the shelf fails, first touch of 29398.52 VWAP; rejection from above goes long.",5m close below 29390.00
2026-08-31:LONDON:v2,S3,long,breakout_retest,B,,,,29543.5,,,,,,,,1x5m_close,above,touch,above,0,"5m close above 29509.50 PDC, then a successful retest of 29509.50 from above.",5m close back below 29498.50
2026-08-31:LONDON:v2,S4,short,reject,C,,,,29633.25,,,,,,,,touch,below,,,0,Rally into 29811.75 PDH; first-touch rejection from below shorts back into range.,15m close above 29830.00
2026-08-31:LONDON:v3,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-08-31:NY:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-08-31:NY:v2,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-08-31:NY:v3,S1,short,reject,B,29351.47,29408.52,29280.88,29280.88,57.04999999999927,1.237335670464523,1.237335670464523,True,True,True,True,touch,below,,,0,Breakdown is void: 5m close back above 29351.47 VWAP−1σ. Await the first retest of 29351.47 from below; rejection prints and no 1m close above it.,5m close above 29408.52 VWAP cancels the retest
2026-08-31:NY:v3,S2,short,reject,A,29437,29479.75,29351.47,29408.52,42.75,2.0007017543859376,0.6661988304093465,True,True,True,True,touch,below,,,0,First touch of 29437.00 PDL from below; rejection prints and no 1m close above it,5m close above 29479.75 stops the fade
2026-08-31:NY:v3,S3,long,sweep_reclaim,B,,,,29408.52,,,,,,,,touch,below,1m_mss,above,0,Sell-side sweep below 29351.47 VWAP−1σ followed by 1m_mss back above it,5m close below 29280.88 iFVG invalidates the reclaim
2026-08-31:NY:v4,S1,long,sweep_reclaim,B,29413,29363.25,29517,29432.25,49.75,2.090452261306533,0.3869346733668342,True,True,False,True,touch,below,1m_mss,above,0,Price sweeps below 29413.00 SWG-H·5m and then prints 1m_mss above 29417.00 OR-L.,1m close below 29397.50 or no 1m_mss above 29417.00 by 12:00 CT aborts.
