id,symbol,plan_id,plan_version,session,read_at_ms,level_price,level_kind,label,rank,seated,cut_reason,score,threshold,grade,score_components,created_at,read_ct
1,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29622.17165419221,VWAP±2σ,VWAP+2σ,1,1,,1.36,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
2,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29633.25,OB,OB(bull)·1h,2,1,,1.4784000000000002,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
3,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29633.25,DEMAND,Demand·1h,3,1,,1.3728,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
4,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29601.0,PDH,PDH,4,1,,1.92,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
5,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29643.5,ONH,ONH,5,1,,1.36,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
6,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29597.25,PDC,PDC,6,1,,1.92,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
7,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29585.0,RTH-H,RTH-H,7,1,,1.2800000000000002,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
8,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29579.5,SWG-H,SWG-H·5m,8,1,,1.36,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
9,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29568.5,SWG-H,SWG-H·5m,9,1,,1.36,1.2800000000000002,A,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
10,MNQ,2026-09-03:ASIA,5,ASIA,1788499854769,29557.0,SWG-L,SWG-L·5m,0,0,"max_levels: 12 seated, cap 12",0.0,1.2800000000000002,,{},2026-09-04T00:30:54.846481-05:00,2026-09-04T00:30:54.769000-05:00
