source_revision,file,line,pinned_url
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,api/handler_plan.go,2275,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/api/handler_plan.go#L2275
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,api/handler_plan.go,715,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/api/handler_plan.go#L715
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,calendar/calendar.go,172,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/calendar/calendar.go#L172
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/detector_recorder.go,50,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/detector_recorder.go#L50
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/detector_recorder.go,67,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/detector_recorder.go#L67
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/engine_analysis.go,468,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/engine_analysis.go#L468
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/engine_prompt.go,827,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/engine_prompt.go#L827
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/fvg_entry.go,268,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/fvg_entry.go#L268
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/fvg_entry.go,70,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/fvg_entry.go#L70
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/level_identity.go,12,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/level_identity.go#L12
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels.go,92,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels.go#L92
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_assemble.go,150,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_assemble.go#L150
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_assemble.go,222,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_assemble.go#L222
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_assemble.go,238,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_assemble.go#L238
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_assemble.go,256,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_assemble.go#L256
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_assemble.go,291,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_assemble.go#L291
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_intraday.go,127,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_intraday.go#L127
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_intraday.go,16,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_intraday.go#L16
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_intraday.go,57,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_intraday.go#L57
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_multiday.go,102,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_multiday.go#L102
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_multiday.go,154,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_multiday.go#L154
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_multiday.go,192,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_multiday.go#L192
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_multiday.go,221,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_multiday.go#L221
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_multiday.go,88,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_multiday.go#L88
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_role.go,164,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_role.go#L164
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,148,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L148
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,325,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L325
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,359,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L359
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,467,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L467
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,482,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L482
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,535,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L535
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,539,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L539
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,601,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L601
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,663,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L663
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,678,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L678
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,70,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L70
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,715,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L715
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,769,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L769
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/levels_score.go,87,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/levels_score.go#L87
