name,kind,defined_at,type,code_default,ui_fallback,live_value,origin,readers,controls,label_guide_match,status
ai_config.coin_source,strategy,store/strategy.go:733,CoinSourceConfig,(object),(children),(object),—,—,(container — see child rows),n/a (container),LIVE
ai_config.coin_source.ai500_limit,strategy,store/strategy.go:1915,int,3,Studio CoinSourceEditor control,3,O,agent/central_brain.go:1159; agent/skill_execution_handlers.go:928; agent/skill_management_handlers.go:1237; agent/skill_management_handlers.go:1244; agent/skill_management_handlers.go:1645; agent/tools.go:3614; api/handler_user.go:435; kernel/engine.go:485; +11 more; ,strategy field (ai_config.coin_source.ai500_limit),"no (Studio only, no guide)",LIVE
ai_config.coin_source.excluded_coins,strategy,store/strategy.go:1911,[]string,[],Studio CoinSourceEditor control,(absent → code default),default,agent/central_brain.go:1158; agent/skill_execution_handlers.go:920; agent/skill_management_handlers.go:1253; agent/skill_management_handlers.go:1254; agent/skill_management_handlers.go:1656; agent/skill_management_handlers.go:1657; agent/tools.go:3623; kernel/engine.go:650; +2 more; ,strategy field (ai_config.coin_source.excluded_coins),"no (Studio only, no guide)",LIVE
ai_config.coin_source.hyper_main_limit,strategy,store/strategy.go:1929,int,0,Studio CoinSourceEditor control,(absent → code default),default,agent/tools.go:3621; kernel/engine.go:564; kernel/engine.go:616; kernel/engine.go:527,strategy field (ai_config.coin_source.hyper_main_limit),"n/a (no Studio control, no guide)",LIVE
ai_config.coin_source.oi_low_limit,strategy,store/strategy.go:1923,int,3,Studio CoinSourceEditor control,3,O,agent/central_brain.go:1161; agent/skill_execution_handlers.go:944; agent/skill_management_handlers.go:1241; agent/skill_management_handlers.go:1250; agent/skill_management_handlers.go:1651; agent/tools.go:3618; kernel/engine.go:525; kernel/engine.go:594; +7 more; ,strategy field (ai_config.coin_source.oi_low_limit),"no (Studio only, no guide)",LIVE
ai_config.coin_source.oi_top_limit,strategy,store/strategy.go:1919,int,3,Studio CoinSourceEditor control,3,O,agent/central_brain.go:1160; agent/skill_execution_handlers.go:936; agent/skill_management_handlers.go:1239; agent/skill_management_handlers.go:1247; agent/skill_management_handlers.go:1648; agent/tools.go:3616; api/handler_user.go:437; kernel/engine.go:505; +8 more; ,strategy field (ai_config.coin_source.oi_top_limit),"no (Studio only, no guide)",LIVE
ai_config.coin_source.source_type,strategy,store/strategy.go:1907,string,"""ai500""",Studio CoinSourceEditor control,"""static""",O,agent/central_brain.go:1156; agent/skill_execution_handlers.go:916; agent/skill_management_handlers.go:661; agent/skill_management_handlers.go:1147; agent/skill_management_handlers.go:1232; agent/skill_management_handlers.go:1641; agent/skill_management_handlers.go:1642; agent/skill_management_handlers.go:2491; +21 more; ,strategy field (ai_config.coin_source.source_type),"no (Studio only, no guide)",LIVE
ai_config.coin_source.static_coins,strategy,store/strategy.go:1909,[]string,[],Studio CoinSourceEditor control,"[""MNQ""]",O,agent/central_brain.go:1157; agent/skill_execution_handlers.go:918; agent/skill_management_handlers.go:1235; agent/skill_management_handlers.go:1653; agent/skill_management_handlers.go:1654; agent/tools.go:3622; api/strategy.go:608; api/strategy.go:609; +20 more; ,symbols traded by the strategy (live [MNQ]),"no (Studio only, no guide)",LIVE
ai_config.coin_source.use_ai500,strategy,store/strategy.go:1913,bool,true,Studio CoinSourceEditor control,false,O,agent/skill_execution_handlers.go:922; agent/skill_management_handlers.go:1243; agent/skill_management_handlers.go:1644; agent/tools.go:2416; agent/tools.go:2488; agent/tools.go:3613; api/handler_order.go:107; api/handler_trader.go:42; +14 more; ,strategy field (ai_config.coin_source.use_ai500),"no (Studio only, no guide)",LIVE
ai_config.coin_source.use_hyper_all,strategy,store/strategy.go:1925,bool,false,Studio CoinSourceEditor control,false,O,agent/tools.go:3619; kernel/engine.go:534; kernel/engine.go:604; store/strategy.go:2517; kernel/engine.go:497,strategy field (ai_config.coin_source.use_hyper_all),"n/a (no Studio control, no guide)",LIVE
