path,line,kind,symbol,class,why
agent/agent.go,87,func,Agent.SetAIClient,KEEP(tests),"9 test refs only, e.g. 155:	a.SetAIClient(sentinel)"
agent/agent.go,422,func,Agent.HandleMessage,KEEP(wired),"6 non-test refs, e.g. 114:	resp, err := w.agent.HandleMessageForStoreUser(ctx, sto"
agent/agent.go,470,func,Agent.HandleMessageStream,KEEP(wired),"2 non-test refs, e.g. 169:	resp, err := w.agent.HandleMessageStreamForStoreUser(ct"
agent/agent.go,549,func,Agent.buildSystemPrompt,KEEP(wired),"5 non-test refs, e.g. 27:		return pb.buildSystemPromptZH()"
agent/agent.go,832,func,Agent.getTradersSummary,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/atomic_skill_executor.go,64,func,Agent.executeAtomicSkillTaskOutcome,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/atomic_skill_executor.go,68,func,Agent.executeAtomicSkillTaskOutcomeWithSession,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/config_validation.go,434,func,unmarshalStringList,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,46,func,fieldKeysByCapability,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,56,func,keywordsForField,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,65,func,manualTraderEditableFieldKeys,KEEP(wired),"1 non-test refs, e.g. 45:		for _, field := range manualTraderEditableFieldKeys() {"
agent/entity_field_catalog.go,71,func,agentTraderUpdatableFieldKeys,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,77,func,manualModelEditableFieldKeys,KEEP(wired),"1 non-test refs, e.g. 33:		for _, field := range manualModelEditableFieldKeys() {"
agent/entity_field_catalog.go,83,func,agentModelUpdatableFieldKeys,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,89,func,manualExchangeEditableFieldKeys,KEEP(wired),"1 non-test refs, e.g. 38:		for _, field := range manualExchangeEditableFieldKeys()"
agent/entity_field_catalog.go,95,func,agentExchangeUpdatableFieldKeys,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,101,func,traderFieldKeywords,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
agent/entity_field_catalog.go,105,func,modelFieldKeywords,REMOVE-CANDIDATE,zero refs anywhere (non-test+test)
