row,old_label,new_label,code_truth,code_line,guide_fixed,guard_test,status
ai_config.coin_source.ai500_limit,,,AI500 coin pool maximum count,store/strategy.go:1915,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.excluded_coins,,,excluded coins list (filtered out from all sources),store/strategy.go:1911,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.oi_low_limit,,,OI Low maximum count,store/strategy.go:1923,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.oi_top_limit,,,OI Top maximum count,store/strategy.go:1919,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.source_type,,,SourceType comment: source type shown in the product editor: static|ai500|oi_top|oi_low,store/strategy.go:1907,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.static_coins,,,static coin list (used when source_type = static),store/strategy.go:1909,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.use_ai500,,,whether to use AI500 coin pool,store/strategy.go:1913,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.use_oi_low,,,"whether to use OI Low (OI decrease ranking, suitable for short positions)",store/strategy.go:1921,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.coin_source.use_oi_top,,,"whether to use OI Top (OI increase ranking, suitable for long positions)",store/strategy.go:1917,"yes (settings.ts coinSource block, 9 KnobSpecs)",strategy-translations.labels.test.ts (5 pins),done
ai_config.custom_prompt,,,strategy field (ai_config.custom_prompt),store/strategy.go:735,,,open
ai_config.indicators.atr_periods,,,strategy field (ai_config.indicators.atr_periods),store/strategy.go:1954,yes (settings.ts indicators block),,done
ai_config.indicators.boll_periods,,,strategy field (ai_config.indicators.boll_periods),store/strategy.go:1956,yes (settings.ts indicators block),,done
ai_config.indicators.ema_periods,,,strategy field (ai_config.indicators.ema_periods),store/strategy.go:1950,yes (settings.ts indicators block),,done
ai_config.indicators.enable_atr,,,ATR block on/off (14) — feeds stop/anchor sizing,store/strategy.go:1943,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_boll,,,Bollinger band block on/off (OFF live),store/strategy.go:1944,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_ema,,,EMA indicator block on/off (50/200 periods stored),store/strategy.go:1940,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_funding_rate,,,funding-rate block on/off,store/strategy.go:1947,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_macd,,,MACD block on/off (OFF live),store/strategy.go:1941,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_netflow_ranking,,,strategy field (ai_config.indicators.enable_netflow_ranking),store/strategy.go:1975,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_oi,,,open-interest block on/off (OFF live),store/strategy.go:1946,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_oi_ranking,,,strategy field (ai_config.indicators.enable_oi_ranking),store/strategy.go:1970,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_price_ranking,,,rankings block on/off (OFF live),store/strategy.go:1980,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
ai_config.indicators.enable_quant_data,,,quant analysis block on/off (OFF live),store/strategy.go:1965,yes (settings.ts indicators block),"labels.test.ts pins (ema 20,50 / rsi 7,14 / atr 14 / boll 20 fixed-2 / svp OFF / raw always-on)",done
